client_lname,rec_num,cl_id,cl_type,description,ws_num,ws_wt_bottle_full,ws_wt_bottle_empty,ws_co2_yield,ws_delta_c13,osg_num,gf_co2_qty,tp_num,dc13,dc13_sample,f_modern,f_int_error,f_ext_error,seawater_dc14,wheel_id,ws_strip_date,ws_comments,q_flag,norm_ratio,int_err,ext_err,fm_corr,sig_fm_corr,lg_blk_fm,sig_lg_blk_fm,ws_line_num
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43139,248.2400055,145.8795,0.21621646,0.88499999,183474,39.5,244438,0.88499999,0.88499999,0.94314512,0.001980174,0.001980174,-64.47,USAMS100719,16:35.2,"WS2 tests, 146",,0.94321577,0.001978411,0.001079254,0.94314512,0.001980174,0.000760598,0.000380299,2
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43137,245.3000031,145.8795,0.20685038,0.842999995,183472,39.09999847,244436,0.842999995,0.842999995,0.944149434,0.002121641,0.002121641,-63.47,USAMS100719,15:36.4,"WS2 tests, 145",,0.94421935,0.002119802,0.001447071,0.944149434,0.002121641,0.000760598,0.000380299,2
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43135,246.2400055,145.8795,0.21129252,0.853999972,183470,39.5,244434,0.853999972,0.853999972,0.944263018,0.002471425,0.002471425,-63.36,USAMS100719,14:24.0,13 WS2 Test,,0.94433285,0.001934332,0.002469372,0.944263018,0.002471425,0.000760598,0.000380299,2
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42420,256.980011,145.8795,0.235561848,1.003999949,180603,43,240389,0.972000003,0.972000003,0.942548319,0.002551008,0.002551008,-65.06,CFAMS061719,38:02.3,44,,0.942707025,0.00183034,0.002545613,0.942548319,0.002551008,0.001699633,0.000849817,2
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42514,266.3599854,145.8795,0.249388561,0.958000004,180883,45.79999924,241918,0.958000004,0.958000004,0.937480975,0.002617859,0.002617859,-70.09,USAMS080819,23:14.1,43-sm probe,,0.937630871,0.002114381,0.002612952,0.937480975,0.002617859,0.001525525,0.000762762,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42516,256.5100098,145.8795,0.233775616,0.935000002,180885,43.09999847,240655,1.036999941,1.036999941,0.942601315,0.001956491,0.001956491,-65.01,USAMS062819,25:16.2,52,,0.942703778,0.001953758,0.000838568,0.942601315,0.001956491,0.001097273,0.000548637,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42582,256.5899963,145.8795,0.235901311,0.916000009,181119,43.79999924,241249,0.916000009,0.916000009,0.944889107,0.002069264,0.002069264,-62.74,USAMS072919,29:30.5,51,,0.945020618,0.002065353,0.00204793,0.944889107,0.002069264,0.001442782,0.000721391,2
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43198,250.0700073,145.88,0.221570015,0.915000021,183808,41.09999847,244737,0.915000021,0.915000021,0.939078183,0.002143701,0.002143701,-68.5,USAMS101919,38:48.5,123,,0.939182511,0.002140846,0.00171371,0.939078183,0.002143701,0.001078139,0.000539069,2
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43152,249.7799988,145.8795,0.221611544,0.809000015,183527,39.90000153,244427,0.809000015,0.809000015,0.942708262,0.002447272,0.002447272,-64.9,USAMS100719,21:33.1,"WS3 Tests, 149",,0.942779231,0.002083216,0.002445226,0.942708262,0.002447272,0.000760598,0.000380299,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43143,242.4900055,145.8795,0.211943209,0.846000016,183478,38.70000076,244443,0.846000016,0.846000016,0.939542508,0.002487022,0.002487022,-68.04,USAMS100719,18:14.1,"WS2 tests, 148",,0.939615791,0.002447605,0.002484935,0.939542508,0.002487022,0.000760598,0.000380299,2
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43141,248.7700043,145.8795,0.218414724,0.862999976,183476,39.70000076,244441,0.862999976,0.862999976,0.942286058,0.002136397,0.002136397,-65.32,USAMS100719,17:27.3,"WS2 tests, 147",,0.942357336,0.002086895,0.002134538,0.942286058,0.002136397,0.000760598,0.000380299,2
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43150,248.3099976,145.8795,0.213825077,0.825999975,183525,37.90000153,244425,0.825999975,0.825999975,0.941396308,0.002197068,0.002197068,-66.2,USAMS100719,20:27.0,"WS3 test, 150",,0.941468237,0.002195167,0.00171231,0.941396308,0.002197068,0.000760598,0.000380299,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43209,241.8699951,145.88,0.212579578,0.898000002,183879,39.40000153,244774,0.898000002,0.898000002,0.949289462,0.00214958,0.00214958,-58.37,USAMS101919,06:58.8,124,,0.949383213,0.002146843,0.001084745,0.949289462,0.00214958,0.001078139,0.000539069,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43207,251.8999939,145.88,0.237413749,0.912999988,183877,43.90000153,244772,0.912999988,0.912999988,0.947403804,0.00263597,0.00263597,-60.24,USAMS101919,06:17.9,122,,0.947499508,0.002219817,0.002632806,0.947403804,0.00263597,0.001078139,0.000539069,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43205,235.75,145.88,0.154220462,0.888000011,183875,135.8000031,244770,0.888000011,0.888000011,0.938730351,0.002586515,0.002586515,-68.85,USAMS101919,05:34.7,121,,0.938835039,0.002003466,0.002583307,0.938730351,0.002586515,0.001078139,0.000539069,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43213,247.3099976,145.88,0.20328927,0.875,183881,36.59999847,244776,0.875,0.875,0.946609965,0.002211178,0.002211178,-61.03,USAMS101919,08:06.1,126,,0.946706491,0.002208361,0.001558765,0.946609965,0.002211178,0.001078139,0.000539069,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43211,249.2299957,145.88,0.221650511,0.870000005,183882,40.70000076,244777,0.870000005,0.870000005,0.941536258,0.002001359,0.002001359,-66.06,USAMS101919,07:32.5,125,,0.941638039,0.001940101,0.00199864,0.941536258,0.002001359,0.001078139,0.000539069,3
